file_keys,Hard-Rock-CH-FBar1
7EyT37HqVeFEYewXoEKwbC2lufpv7mT1,0.25
ozdZ4FIxTdsGx9AyhAxVwuVP570vkUNz,0.72
rjKsjlicl0LOUDmeA5JrYh8m9ekAvifK,0.4
D0Ugx0TkziO6wjn9t5JpS1MngoOmfYyx,0.6
y3MHeXje9aN6gBl5THTuIXZgXSPZTvdN,0.45
HYKZ7WrWs4fISGZAfqC53y95quq594QZ,0.44
TI3eSrQnGm5EJcPtlCpa3OPBuiHjPWP9,0.44
SkbL3DYb7aFhBBiq6a6sCzOg80fESDsJ,0.75
IqKvAGnvldC668NuLSjwsl11HovKyz0u,0.16
bieCPJnxeisisscZXz9DEpegvxkFe8pp,0.54
aqszoUuJrsdCk2Wf8jImSZM0It4xqwdd,0.41
QT0XwGo4h4owJcK1zKS71E1xhlNwBwDE,0.77
V287aFRCCbvXICreXXX5vxoEyZeJ17aL,0.5
50PztXjRrRUhsBzOj7fwFHpEnAqA08h3,0.58
sHIHkwFXw08HxeqZ3mcdSstO1u8anv67,0.77
ztldzYsYw2aNnizH4wuwJXkHzEmnVbxE,0.61
aRnTu5UHdKevGRR7BUcDK7YpE4WuN1UV,0.49
Vm7xlnMo30ee0k1ne3kFtbvXTiUnIPd4,0.54
0TQVHnKsGmimjKm293mGRY2qC3t1KBK0,0.53
C2SxZqpu28TDIJe1Hc5w6zTaDlthXV17,0.65
5PbQMLjN7SZHF9skHbYwBCby3KH6cqsL,0.3
hqCWH3oHzV9Bo33aSJfwn7pH9rrJFWg9,0.56
Gv2liK1ZakBzWRUQMXDEPp43IZ7tnuS4,0.33
