file_keys,SF-Pop-19
7EyT37HqVeFEYewXoEKwbC2lufpv7mT1,0.05
ozdZ4FIxTdsGx9AyhAxVwuVP570vkUNz,0.15
rjKsjlicl0LOUDmeA5JrYh8m9ekAvifK,0.13
D0Ugx0TkziO6wjn9t5JpS1MngoOmfYyx,0
y3MHeXje9aN6gBl5THTuIXZgXSPZTvdN,0.3
HYKZ7WrWs4fISGZAfqC53y95quq594QZ,0.14
TI3eSrQnGm5EJcPtlCpa3OPBuiHjPWP9,0.76
SkbL3DYb7aFhBBiq6a6sCzOg80fESDsJ,0.11
IqKvAGnvldC668NuLSjwsl11HovKyz0u,0.17
bieCPJnxeisisscZXz9DEpegvxkFe8pp,0.05
aqszoUuJrsdCk2Wf8jImSZM0It4xqwdd,0.25
QT0XwGo4h4owJcK1zKS71E1xhlNwBwDE,0.46
V287aFRCCbvXICreXXX5vxoEyZeJ17aL,0.22
50PztXjRrRUhsBzOj7fwFHpEnAqA08h3,0.46
sHIHkwFXw08HxeqZ3mcdSstO1u8anv67,0.53
ztldzYsYw2aNnizH4wuwJXkHzEmnVbxE,0.25
aRnTu5UHdKevGRR7BUcDK7YpE4WuN1UV,0
Vm7xlnMo30ee0k1ne3kFtbvXTiUnIPd4,0.2
0TQVHnKsGmimjKm293mGRY2qC3t1KBK0,0.11
C2SxZqpu28TDIJe1Hc5w6zTaDlthXV17,0.51
5PbQMLjN7SZHF9skHbYwBCby3KH6cqsL,0.11
hqCWH3oHzV9Bo33aSJfwn7pH9rrJFWg9,0.25
Gv2liK1ZakBzWRUQMXDEPp43IZ7tnuS4,0.19
