file_keys,Funk-CH1-FBar1
50PztXjRrRUhsBzOj7fwFHpEnAqA08h3,0.53
V287aFRCCbvXICreXXX5vxoEyZeJ17aL,0.32
SkbL3DYb7aFhBBiq6a6sCzOg80fESDsJ,0.32
7EyT37HqVeFEYewXoEKwbC2lufpv7mT1,0.1
sHIHkwFXw08HxeqZ3mcdSstO1u8anv67,0.74
ztldzYsYw2aNnizH4wuwJXkHzEmnVbxE,0.75
y3MHeXje9aN6gBl5THTuIXZgXSPZTvdN,0.39
aRnTu5UHdKevGRR7BUcDK7YpE4WuN1UV,0.69
ozdZ4FIxTdsGx9AyhAxVwuVP570vkUNz,0.74
Vm7xlnMo30ee0k1ne3kFtbvXTiUnIPd4,0.63
rjKsjlicl0LOUDmeA5JrYh8m9ekAvifK,0.4
HYKZ7WrWs4fISGZAfqC53y95quq594QZ,0.13
C2SxZqpu28TDIJe1Hc5w6zTaDlthXV17,0
TI3eSrQnGm5EJcPtlCpa3OPBuiHjPWP9,0.63
5PbQMLjN7SZHF9skHbYwBCby3KH6cqsL,0.82
D0Ugx0TkziO6wjn9t5JpS1MngoOmfYyx,0.83
QT0XwGo4h4owJcK1zKS71E1xhlNwBwDE,0.08
hqCWH3oHzV9Bo33aSJfwn7pH9rrJFWg9,0.54
0TQVHnKsGmimjKm293mGRY2qC3t1KBK0,0.62
IqKvAGnvldC668NuLSjwsl11HovKyz0u,0.61
Gv2liK1ZakBzWRUQMXDEPp43IZ7tnuS4,0.25
