file_keys,SF-Pop-10-Repeat
50PztXjRrRUhsBzOj7fwFHpEnAqA08h3,1
V287aFRCCbvXICreXXX5vxoEyZeJ17aL,1
SkbL3DYb7aFhBBiq6a6sCzOg80fESDsJ,1
7EyT37HqVeFEYewXoEKwbC2lufpv7mT1,0.99
sHIHkwFXw08HxeqZ3mcdSstO1u8anv67,1
ztldzYsYw2aNnizH4wuwJXkHzEmnVbxE,1
y3MHeXje9aN6gBl5THTuIXZgXSPZTvdN,1
aRnTu5UHdKevGRR7BUcDK7YpE4WuN1UV,1
ozdZ4FIxTdsGx9AyhAxVwuVP570vkUNz,1
Vm7xlnMo30ee0k1ne3kFtbvXTiUnIPd4,1
rjKsjlicl0LOUDmeA5JrYh8m9ekAvifK,1
HYKZ7WrWs4fISGZAfqC53y95quq594QZ,1
C2SxZqpu28TDIJe1Hc5w6zTaDlthXV17,1
TI3eSrQnGm5EJcPtlCpa3OPBuiHjPWP9,1
5PbQMLjN7SZHF9skHbYwBCby3KH6cqsL,1
D0Ugx0TkziO6wjn9t5JpS1MngoOmfYyx,0.94
QT0XwGo4h4owJcK1zKS71E1xhlNwBwDE,1
hqCWH3oHzV9Bo33aSJfwn7pH9rrJFWg9,1
0TQVHnKsGmimjKm293mGRY2qC3t1KBK0,1
IqKvAGnvldC668NuLSjwsl11HovKyz0u,1
Gv2liK1ZakBzWRUQMXDEPp43IZ7tnuS4,1
