file_keys,ska_F06
50PztXjRrRUhsBzOj7fwFHpEnAqA08h3,0.17
V287aFRCCbvXICreXXX5vxoEyZeJ17aL,0.27
SkbL3DYb7aFhBBiq6a6sCzOg80fESDsJ,0
7EyT37HqVeFEYewXoEKwbC2lufpv7mT1,0.19
sHIHkwFXw08HxeqZ3mcdSstO1u8anv67,0.47
ztldzYsYw2aNnizH4wuwJXkHzEmnVbxE,0.1
y3MHeXje9aN6gBl5THTuIXZgXSPZTvdN,0.24
aRnTu5UHdKevGRR7BUcDK7YpE4WuN1UV,0.49
ozdZ4FIxTdsGx9AyhAxVwuVP570vkUNz,0.45
Vm7xlnMo30ee0k1ne3kFtbvXTiUnIPd4,0.58
rjKsjlicl0LOUDmeA5JrYh8m9ekAvifK,0.19
HYKZ7WrWs4fISGZAfqC53y95quq594QZ,0.32
C2SxZqpu28TDIJe1Hc5w6zTaDlthXV17,0.38
TI3eSrQnGm5EJcPtlCpa3OPBuiHjPWP9,0
5PbQMLjN7SZHF9skHbYwBCby3KH6cqsL,0.1
D0Ugx0TkziO6wjn9t5JpS1MngoOmfYyx,0.76
QT0XwGo4h4owJcK1zKS71E1xhlNwBwDE,0.25
hqCWH3oHzV9Bo33aSJfwn7pH9rrJFWg9,0.55
0TQVHnKsGmimjKm293mGRY2qC3t1KBK0,0.5
IqKvAGnvldC668NuLSjwsl11HovKyz0u,0.4
Gv2liK1ZakBzWRUQMXDEPp43IZ7tnuS4,0.16
